Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
146,2693.29,99911.0,345.66,2345.8,823911.0,1377.3,607014.0,0.5115,1.581,5.5,15.0,10.5,4.71,7.32,2.61,2719.098298110962,98426.61413574219,349.0481862163544,2365.7308605194094,849830.40234375,1388.978581237793,1388.978581237793,0.5112857500711688,1.5707008528932929,5.441040650010109,14.907666146755219,10.472640918567777,4.70572910182178,7.284965056627989,7.284965056627989
147,2678.11,87419.3,344.7,2382.4,752057.0,1376.74,545487.0,0.5091,1.5730000000000002,5.5,15.0,10.5,4.71,7.32,2.61,2684.1753791427614,81780.30341796875,346.1026182889938,2395.3842891693116,679487.9375,1382.2244813346863,1382.2244813346863,0.5077087591387331,1.5588047869056465,5.438643351197243,14.92972332239151,10.454338807612658,4.698915139809251,7.261993139684201,7.261993139684201
148,2728.15,90447.8,350.65,2381.3,752057.0,1350.21,365811.0,0.5089,1.577,5.5,15.0,10.5,4.71,7.32,2.61,2722.328614139557,91361.38227539063,350.213519090414,2375.730367946625,713059.94921875,1343.6897587394715,1343.6897587394715,0.5085336038748268,1.5720553267262876,5.494087368249893,14.983249068260193,10.479409366846085,4.692024943456054,7.273543089330197,7.273543089330197
149,2719.79,75296.9,349.24,2390.8,723134.0,1396.68,472864.0,0.5062,1.5505,5.5,15.0,10.5,4.34,7.56,2.5,2720.3336061024665,78368.6509765625,349.6747298145294,2386.8215528011324,738887.162109375,1393.3117675113679,1393.3117675113679,0.5062886364505277,1.5450873785763979,5.498061507940292,14.988544404506683,10.479200541973114,4.323956854790449,7.517430075854063,7.517430075854063
150,2679.52,95036.4,345.46,2401.5,723866.0,1420.52,486393.0,0.505,1.56,5.5,15.0,10.5,4.34,7.56,2.5,2682.0753851127624,93007.0270751953,345.9894623970985,2407.435203552246,741058.0390625,1414.1796174240112,1414.1796174240112,0.5052069873880828,1.5554031906090677,5.500475719571114,14.965067148208618,10.492044731974602,4.326064546741545,7.524523125439882,7.524523125439882
151,2683.89,94165.3,346.47,2369.8,741175.0,1394.97,352273.0,0.5053,1.5825,5.5,15.0,10.5,4.34,7.56,2.5,2694.29265750885,88157.1974609375,348.24597558498385,2379.1077478408815,774068.31640625,1393.9805792880059,1393.9805792880059,0.5054051969447871,1.5789397577568889,5.491206526756287,14.968579709529877,10.487910584546626,4.337297780122608,7.546781883053481,7.546781883053481
152,2673.06,80438.6,345.1,2331.2,685518.0,1379.02,437070.0,0.5089,1.6159999999999999,5.5,15.0,10.5,4.34,7.56,2.5,2686.7609840011596,80752.8833557129,347.3910463809967,2337.2202898979185,720662.2578125,1381.3124950122833,1381.3124950122833,0.509314314417867,1.6145944508807732,5.497672960162163,14.981052219867706,10.489411995746195,4.3487369279935955,7.54815631866455,7.54815631866455
153,2771.09,116107.4,356.94,2312.1,693916.0,1408.26,368311.0,0.5092,1.6015,5.5,15.0,10.5,4.49,7.31,3.06,2785.023255195618,117267.1110595703,358.69154399871826,2317.0154391288756,729658.55859375,1409.3157879209518,1409.3157879209518,0.5104695709010586,1.605922002006322,5.507032752037048,14.964408993721008,10.491439118981361,4.49755380326882,7.304896697811782,7.304896697811782
154,2773.36,86585.3,356.99,2218.8,788287.0,1428.98,421720.0,0.5068,1.5465,5.5,16.0,10.5,4.49,7.31,3.06,2782.3032640075685,82986.30439453125,357.7897772693634,2226.2094696044924,849412.984375,1438.2666926193237,1438.2666926193237,0.5081907214161009,1.5515086812116206,5.48487763106823,15.985696613788605,10.482839748263359,4.483971365969628,7.32043357886374,7.32043357886374
155,2643.65,179051.1,341.76,2170.1,1176917.0,1310.22,823593.0,0.5112,1.59,5.5,16.0,10.5,4.49,7.31,3.06,2641.611324930191,186443.22548828126,342.13264427542686,2166.7326801776885,1250819.1484375,1299.5852687072754,1299.5852687072754,0.5116196489462629,1.594628024995327,5.459380924701691,16.00321388244629,10.493162394035608,4.4714458116889,7.360017356872558,7.360017356872558
156,2653.28,119362.6,342.5,2161.9,613199.0,1333.25,376901.0,0.5112,1.6145,5.5,16.0,10.5,4.49,7.31,3.06,2669.9970028686525,98826.094140625,344.4357558488846,2165.1967507839204,559538.1875,1326.462601184845,1326.462601184845,0.5120146231994033,1.6204251952916384,5.500501275062561,16.034952044487,10.47373959608376,4.490374959083274,7.415578422546386,7.415578422546386
157,2645.9,104811.4,341.2,2160.1,674591.0,1335.24,282505.0,0.5099,1.5755,5.5,16.0,10.5,4.66,7.73,3.29,2657.2436155319215,106133.1120361328,342.2659292936325,2155.9633227348327,696642.03125,1331.5137774848938,1331.5137774848938,0.5116959426622838,1.5817618628144263,5.534239515662193,16.045640468597412,10.48355770111084,4.681779740229249,7.771487120091916,7.771487120091916
158,2623.36,88229.8,338.15,2203.8,571096.0,1321.31,205856.0,0.5107,1.5885,5.5,16.0,10.5,4.66,7.73,3.29,2627.439836845398,88974.15467529297,338.4934155285358,2201.8419000387194,649865.2421875,1318.5892992591857,1318.5892992591857,0.5129864814382047,1.5968360485732556,5.506112828850746,15.960488855838776,10.520880190655589,4.6583529205201195,7.691825944483281,7.691825944483281
159,2632.58,82168.4,340.54,2203.4,623755.0,1333.72,221099.0,0.5102,1.5815,5.5,16.0,10.5,4.66,7.73,3.29,2624.227841453552,94923.1783203125,340.1545317554474,2193.0903257369996,690942.3359375,1321.784235687256,1321.784235687256,0.5104951368223876,1.576259446941316,5.500570714473724,15.972002983093262,10.495324805378914,4.620228204727173,7.679467469006777,7.679467469006777
160,2656.78,82244.7,341.91,2192.3,653814.0,1361.67,233143.0,0.5102,1.565,5.5,16.0,10.5,4.66,7.73,3.29,2647.1728079605105,88015.32109375,340.70688167572024,2182.86480884552,634695.09765625,1354.617211265564,1354.617211265564,0.5110761375211179,1.567833172213286,5.523496076464653,16.002840518951416,10.49233001517132,4.63292379103601,7.698574523925782,7.698574523925782
161,2688.78,68123.8,343.6,2255.6,701149.0,1410.13,372883.0,0.5125,1.5655,5.5,16.0,10.5,4.66,7.73,3.29,2688.6438447374107,71627.67817382813,343.89567959904673,2257.249028420448,712000.791015625,1409.971700538993,1409.971700538993,0.5130929109756834,1.564622728302609,5.499170750379562,15.976088106632233,10.489174694754183,4.638069672361016,7.706116562262178,7.706116562262178
162,2736.77,104603.4,348.55,2353.7,822158.0,1443.33,318714.0,0.5154,1.5759999999999998,5.5,16.0,10.5,4.65,7.71,3.28,2743.8935637664795,110435.94541015624,349.19178997278215,2359.6790902137755,817467.279296875,1451.202757434845,1451.202757434845,0.5158144942213315,1.5756133557579013,5.5050874799489975,15.985495030879974,10.479234650731087,4.625138371810317,7.698514518365264,7.698514518365264
163,2761.09,85713.4,352.75,2386.2,723552.0,1464.29,477329.0,0.5243,1.6005,5.5,16.0,10.5,4.65,7.71,3.28,2780.899753417969,91161.5015625,354.6809272766113,2399.8913242340086,726994.5522460938,1484.793412246704,1484.793412246704,0.5249887575145811,1.6001010605827906,5.530355975031853,15.997629284858704,10.501128196716309,4.644852423667908,7.740725097283721,7.740725097283721
164,2687.93,117851.9,342.84,2360.7,714294.0,1459.89,408197.0,0.5249,1.6115,5.5,16.0,10.5,4.65,7.71,3.28,2719.5450169372557,131104.7427734375,346.06185230255124,2381.62752456665,737755.861328125,1484.830628051758,1484.830628051758,0.525436001927685,1.6098880771324038,5.53368116915226,15.993457973003387,10.516172140836716,4.6622909164056185,7.7459596237540245,7.7459596237540245
165,2724.4,54078.5,348.81,2395.8,714294.0,1483.4,408197.0,0.5291,1.6269999999999998,5.5,16.0,10.5,4.65,7.71,3.28,2751.5911144256593,55549.08056640625,352.06041007995606,2410.999736595154,748608.8984375,1494.0055536270143,1494.0055536270143,0.530089303807728,1.6278031504112294,5.521729096770287,15.965580105781555,10.518366158008575,4.668373465165496,7.731889114752412,7.731889114752412
166,2809.73,71086.6,358.76,2463.7,714294.0,1521.99,408197.0,0.5242,1.6105,5.5,16.0,10.5,5.2,7.66,3.96,2827.7064518737793,87376.8919921875,360.50938917160033,2468.289425086975,741419.970703125,1527.6748006248474,1527.6748006248474,0.5251702284005471,1.6092642577616498,5.5168900936841965,15.970328211784363,10.500023052094548,5.198569194227457,7.645238457098603,7.645238457098603
167,2750.64,97020.6,347.31,2412.6,901901.0,1569.52,770952.0,0.5278,1.6645,5.5,16.0,10.0,5.2,7.66,3.96,2751.5041773462294,112242.2494140625,347.0474393045902,2410.7984137296676,933551.6015625,1588.3829264831543,1588.3829264831543,0.5287937442373485,1.670965194746852,5.4941278249025345,15.995180487632751,10.00051037967205,5.170663584768772,7.650951538085938,7.650951538085938
168,2659.13,104915.4,337.4,2373.9,879133.0,1533.0,772424.0,0.5297,1.652,5.5,16.0,10.0,5.2,7.66,3.96,2664.5049103546144,108624.8755859375,337.5738048940897,2378.4551295280457,827002.5234375,1541.6272230148315,1541.6272230148315,0.5301905286477878,1.6556812350153922,5.496569007635117,15.96454805135727,9.96874052286148,5.146416780352593,7.642806205749512,7.642806205749512
169,2604.5,116755.3,324.17,2278.6,895040.0,1495.25,644118.0,0.5333,1.6517,5.5,16.0,10.0,5.2,7.66,3.96,2608.7282729148865,111727.43916015625,324.32817603468897,2281.2573359966277,861159.4921875,1491.5684280395508,1491.5684280395508,0.5345322991387919,1.6565675574362277,5.496850416064262,15.9083531498909,9.972855480387807,5.154636637121439,7.595037232935429,7.595037232935429
170,2590.54,111845.8,329.08,2337.3,759453.0,1515.0,644118.0,0.5368,1.679,5.5,16.0,10.0,5.2,7.66,3.96,2595.220077075958,97987.0294921875,330.07276041984557,2335.5180432081224,739866.98828125,1502.837134361267,1502.837134361267,0.5385005257541314,1.6817146004140378,5.496113255620003,15.905607640743256,9.97490388341248,5.185106406733394,7.595723498463631,7.595723498463631
171,2640.09,89106.3,333.75,2307.4,777903.0,1577.31,1094765.0,0.5381,1.6945,5.5,16.0,10.0,5.26,7.51,3.95,2649.358250465393,83939.36396484375,334.42371875047684,2299.7753895759583,807116.470703125,1574.0296156978607,1574.0296156978607,0.5399892893567682,1.698467288415879,5.551118358969688,15.967115223407745,9.987877727486193,5.247135555595159,7.4944266893342135,7.4944266893342135
172,2624.32,82286.4,332.01,2298.3,716296.0,1564.7,808267.0,0.5366,1.695,5.5,16.0,10.0,5.26,7.51,3.95,2636.499831504822,86182.11069335937,332.8507866358757,2299.5153878211977,751205.76953125,1570.5179273605347,1570.5179273605347,0.5375639273630455,1.6982289898954332,5.519783675670624,15.968013644218445,9.984241962432861,5.223386420160532,7.499934921264648,7.499934921264648
173,2583.56,79441.7,327.67,2259.7,665722.0,1544.42,940659.0,0.5376,1.713,5.5,16.0,10.0,5.26,7.51,3.95,2594.3756394958496,92688.5369140625,328.97762350559236,2264.648055744171,704602.0390625,1546.2842894029618,1546.2842894029618,0.5381046191508881,1.7097716310638935,5.494075149297714,15.94610869884491,9.984903381206095,5.223600292801857,7.4693891128897665,7.4693891128897665
174,2627.25,103279.8,331.89,2255.4,611800.0,1550.06,813389.0,0.5359,1.6795,5.5,16.0,10.0,5.26,7.51,3.95,2630.516812801361,105973.62348632813,332.3664626920223,2252.59148683548,623446.4052734375,1542.3776259994506,1542.3776259994506,0.5367391080773436,1.6794091719655553,5.4973201006650925,15.943047881126404,9.965759083628654,5.218297654986381,7.471697958409786,7.471697958409786
175,2669.59,107985.4,336.95,2230.3,614994.0,1568.9,459634.0,0.5338,1.6440000000000001,5.5,16.0,10.0,5.23,8.1,3.73,2669.86510163188,101443.54892578124,336.9957226783037,2228.6349993228914,665448.6171875,1564.6726073265077,1564.6726073265077,0.5349059090029449,1.6444419087199496,5.5019920617341995,15.958018481731415,9.984004348516464,5.190202351212502,8.060599899291992,8.060599899291992
176,2687.84,97482.3,336.87,2226.1,591529.0,1564.81,422896.0,0.5336,1.61,5.5,16.0,10.0,5.23,8.1,3.73,2694.015856590271,96551.64796142578,337.3700396966934,2232.0412117004394,663764.3203125,1567.283375082016,1567.283375082016,0.5349587792636826,1.6098924811370672,5.504773512482643,15.991796970367432,9.986425028182566,5.192978310883046,8.032396128773689,8.032396128773689
177,2727.93,107621.8,339.74,2250.3,604760.0,1572.19,376552.0,0.5323,1.595,5.5,16.0,10.0,5.23,8.1,3.73,2727.629626177549,106613.6486328125,339.5944277101755,2250.719272989035,653208.44921875,1568.5745202922822,1568.5745202922822,0.5329128005334176,1.5950992690038401,5.49162383377552,16.00617480278015,9.971743138507009,5.1819458115100865,8.023287197947502,8.023287197947502
178,2743.96,84598.9,342.0,2275.0,592417.0,1605.1,490221.0,0.5304,1.6269999999999998,5.5,16.0,10.0,5.23,8.1,3.73,2740.0502178287506,83585.0919555664,341.3286719918251,2272.543773174286,613725.455078125,1602.2570107936858,1602.2570107936858,0.5310131501868367,1.628191944698803,5.504040375351906,16.01284968852997,9.971945704892278,5.185949865281582,8.048256872594356,8.048256872594356
179,2719.37,85804.5,341.09,2231.6,734593.0,1543.01,416597.0,0.5322,1.641,5.5,16.0,10.0,4.71,9.45,3.71,2724.408607120514,93392.92822265625,341.64195415019987,2232.006995207071,724684.6201171875,1547.28699136734,1547.28699136734,0.532580761368433,1.6406754367020913,5.51528300344944,15.979945957660675,9.96415638923645,4.672759494781494,9.407397270947694,9.407397270947694
180,2729.73,65209.9,341.92,2215.5,487972.0,1522.21,321709.0,0.5329,1.6425,5.5,16.0,10.0,4.71,9.45,3.71,2751.682663421631,67642.92978515624,343.83331136226656,2237.756435394287,515172.7578125,1526.8049258804322,1526.8049258804322,0.5341451260117814,1.6414155422663317,5.536038160324097,15.976900279521942,9.997849270701408,4.693255673199892,9.415500451624393,9.415500451624393
181,2732.88,66325.6,340.72,2205.9,487972.0,1534.11,206339.0,0.5329,1.64,5.5,16.0,10.0,4.71,9.45,3.71,2739.0728567886354,69505.11489257813,341.3812722873688,2214.6836475372315,589359.09375,1530.8867150402068,1530.8867150402068,0.5343502253616229,1.6437214329931884,5.5100042670965195,15.996254861354828,10.003557115560398,4.694583639539778,9.411581230163574,9.411581230163574
182,2666.44,89426.9,332.03,2143.1,644725.0,1467.84,219253.0,0.5329,1.6375,5.5,16.0,10.0,4.71,9.45,3.71,2669.572941007614,86528.88681640624,332.4171249556541,2145.1262434482574,745086.421875,1461.2698458099364,1461.2698458099364,0.5345627919394523,1.6442376946099102,5.507859542965889,16.019672870635986,9.998662561294623,4.692366422191262,9.418228913843631,9.418228913843631
183,2689.64,78172.4,334.48,2137.6,683956.0,1458.18,209804.0,0.5339,1.6425,5.5,16.0,10.0,4.36,9.74,3.13,2689.2239221179484,71283.09775390624,335.0847493815422,2132.9559408187865,696635.2490234375,1446.2816216278077,1446.2816216278077,0.5349141532402486,1.6431920958985575,5.4933043867349625,15.95813673734665,9.972137005999684,4.330107572153211,9.70107006072998,9.70107006072998
184,2732.88,80232.7,342.86,2162.7,683956.0,1516.4,342363.0,0.5358,1.6795,5.5,16.0,10.0,4.36,9.74,3.13,2738.005740528107,72680.30546875,343.3099549865723,2165.706039857864,672100.0341796875,1509.9218958854676,1509.9218958854676,0.5373222213696689,1.6820796084664762,5.527157515287399,15.968019425868988,9.972804265096784,4.344986191615463,9.703533401489258,9.703533401489258
185,2819.68,120168.4,354.0,2221.1,774162.0,1524.35,344077.0,0.5397,1.6795,5.5,16.0,10.0,4.36,9.74,3.13,2834.7297999191283,117185.78549804687,355.37787210941315,2231.6723962783813,799921.234375,1534.4201789855956,1534.4201789855956,0.5411518386451527,1.6845449133850634,5.530372068285942,15.996835231781006,9.977379323914647,4.353409233633429,9.73972496033297,9.73972496033297
186,2856.26,107471.3,359.29,2287.4,1001292.0,1572.95,421088.0,0.5398,1.6935,5.5,16.0,10.0,4.36,9.74,3.13,2885.866233596802,109027.20454101563,362.27533272743227,2314.0016483306886,1079631.5234375,1600.1352130889893,1600.1352130889893,0.5407045957704074,1.694673056080006,5.505225837230682,16.009129881858826,10.000375509232981,4.362291285898537,9.778990210741759,9.778990210741759
187,2878.56,81039.8,360.86,2346.2,1001292.0,1557.44,350504.0,0.5413,1.696,5.5,16.0,10.0,4.36,9.74,3.13,2912.473822174072,94330.89375,364.07563959121705,2372.63666267395,1024272.263671875,1587.3961405181885,1587.3961405181885,0.5421797163609415,1.6993420033287256,5.506835833191872,15.986587226390839,10.002726927166805,4.359555539514404,9.758275832757354,9.758275832757354
188,2911.65,107846.8,364.96,2358.5,984653.0,1550.93,247760.0,0.5411,1.6885,5.5,16.0,10.0,4.67,9.79,2.89,2934.780916595459,122877.6408203125,367.1085149860382,2376.4610805511475,961779.15234375,1571.0656048583985,1571.0656048583985,0.5416398854264058,1.6899851172454654,5.504914179444313,15.98259711265564,9.999612912564771,4.671848614658229,9.783645095732062,9.783645095732062
189,2929.95,97955.1,364.9,2405.4,859744.0,1535.09,292371.0,0.5413,1.7118,5.5,16.0,10.0,4.67,9.79,2.89,2933.2645661354063,107763.38515625,365.25853061079977,2411.010980987549,843011.591796875,1548.980257835388,1548.980257835388,0.5420234468939714,1.7146317705728114,5.498897537589073,16.002904057502747,10.001589655759744,4.662821485269815,9.791571655273437,9.791571655273437
190,2895.3,101018.1,359.1,2371.2,728053.0,1535.85,214497.0,0.5429999999999999,1.722,7.0,16.0,10.0,4.67,9.79,2.89,2900.212043094635,108661.6498046875,359.508169656992,2371.7991852879522,738794.4794921875,1542.2827073097228,1542.2827073097228,0.5439070432861335,1.7251084911897778,7.023398473858833,15.987265467643738,9.999476373195648,4.658052540458739,9.771807136908173,9.771807136908173
191,2862.14,83623.1,355.14,2373.5,687184.0,1533.25,273771.0,0.5423,1.744,7.0,16.0,10.0,4.67,9.79,2.89,2880.2143446350096,90494.2611328125,358.30115617752074,2370.8621814250946,728756.3828125,1538.52689743042,1538.52689743042,0.5448225812569261,1.751474957499653,7.029260963201523,15.991860747337341,10.022212414070964,4.688607445061207,9.82992424160242,9.82992424160242
192,2911.64,58150.2,360.16,2355.5,695615.0,1528.25,265387.0,0.5459,1.776,7.0,16.0,10.0,4.82,9.78,2.66,2936.771326675415,66831.518359375,363.7965649700165,2359.230129957199,753829.421875,1538.7025165557861,1538.7025165557861,0.5486825443539769,1.789775983825326,7.024941340088844,15.968060433864594,10.018121659755707,4.841744471043349,9.816398123949766,9.816398123949766
193,2932.68,79162.3,361.23,2360.5,666237.0,1523.68,227737.0,0.551,1.8005,7.0,16.0,10.0,4.82,9.78,2.66,2953.7071320343016,94055.6857421875,363.59457705497744,2364.189602136612,716827.32421875,1538.6621348190308,1538.6621348190308,0.5541375570688397,1.8199332338869572,7.0201137363910675,15.988584339618683,10.006885274779052,4.837294075340033,9.816924172192811,9.816924172192811
194,2981.68,114564.3,364.22,2402.0,943806.0,1565.92,479768.0,0.5508,1.8155,7.0,16.0,10.0,4.82,9.78,2.66,2992.0265814590452,119467.489453125,365.3554072093964,2408.0859327316284,982045.05078125,1572.7304505538941,1572.7304505538941,0.5522353306032717,1.8193001092616468,7.015534535050392,15.98725539445877,9.997000515693799,4.8187447370076555,9.800448494702577,9.800448494702577
195,2930.94,124043.6,357.09,2364.7,757886.0,1561.24,335201.0,0.5495,1.8090000000000002,7.0,16.0,10.0,4.82,9.78,2.66,2952.8806871795655,122981.59780273438,358.9556593561172,2380.339497756958,772149.337890625,1579.7199213409424,1579.7199213409424,0.5510518359141424,1.8164552409350874,7.017979592084885,15.993054270744324,10.004787534475327,4.824008149262518,9.82744205623865,9.82744205623865
196,2899.26,102178.6,355.52,2339.0,608053.0,1557.76,325833.0,0.5542,1.8565,7.0,16.0,10.0,5.62,10.62,2.77,2919.572355041504,99402.09389648438,358.0870917034149,2353.227068901062,655778.1953125,1567.2316567993164,1567.2316567993164,0.5554207560939715,1.8615362176261843,7.0033580511808395,15.963783860206604,10.0109094819054,5.6369334784150125,10.623492164658382,10.623492164658382
197,2734.9,196904.4,338.35,2237.5,1093595.0,1375.72,563555.0,0.5536,1.87,6.0,16.0,10.0,5.62,10.62,2.77,2753.4614681243897,210013.80625,340.363019323349,2245.7150259017944,1177228.21875,1396.7747714233399,1396.7747714233399,0.5552959030181169,1.8816779562085868,5.999550506472588,16.009230375289917,10.013138859532773,5.625531293805689,10.610059852600097,10.610059852600097
198,2748.28,90837.1,340.06,2239.3,881637.0,1317.8,447355.0,0.5571,1.9,6.0,16.0,10.0,5.62,10.62,2.77,2735.67718914032,69026.18984375,337.61845308303833,2223.850304412842,878814.71484375,1296.4452407836914,1296.4452407836914,0.5590984371028841,1.918323803320527,6.026893764734268,15.975856184959412,10.017456382513046,5.590942107960582,10.593214339464902,10.593214339464902
199,2560.16,131398.3,316.55,2104.8,787413.0,1182.02,338527.0,0.5599,1.9265,6.0,16.0,10.0,5.62,10.62,2.77,2536.6814653015135,135508.91572265624,312.1607749938965,2078.9190452575685,746220.6328125,1153.2525382232666,1153.2525382232666,0.5622112709168344,1.9402356892228128,6.047287121415138,15.973958253860474,10.004065930843353,5.597838942781091,10.533114167749881,10.533114167749881
200,2632.44,103856.9,324.19,2125.7,787413.0,1214.56,501526.0,0.5672,1.945,6.0,16.0,10.0,5.62,10.62,2.77,2613.716596069336,75114.3375,322.76446014881134,2104.674588394165,728491.68359375,1175.8836045837402,1175.8836045837402,0.5684938958825544,1.9467375819152222,6.005408301949501,15.929587185382843,9.974913896992803,5.6214974819496275,10.558616942614316,10.558616942614316
201,2628.22,43365.7,324.39,2152.2,595906.0,1258.03,264049.0,0.5724,1.9055,6.0,16.0,10.0,6.16,10.89,3.65,2626.500120015144,38889.35478515625,324.1318327927589,2142.647890281677,617396.59375,1245.0472052383423,1245.0472052383423,0.5738763234648854,1.905067169288639,6.014467015862465,15.97229552268982,9.988013328053057,6.154081080425531,10.892204132033513,10.892204132033513
202,2625.74,75282.7,322.54,2142.3,634410.0,1248.74,210019.0,0.565,1.86,6.0,16.0,10.0,6.16,10.89,3.65,2631.798883666992,87805.280078125,322.8304000878334,2138.87435131073,720506.9921875,1257.0969631576538,1257.0969631576538,0.5665946769854053,1.865487411748618,5.991266280412674,15.99960082769394,10.02110998146236,6.1516241401806475,10.86818260267377,10.86818260267377
203,2557.44,89709.4,316.6,2065.8,652808.0,1172.48,211878.0,0.5667,1.8845,6.0,16.0,10.0,6.16,10.89,3.65,2538.3533472442627,100795.6763671875,314.1811700820923,2051.2349384307863,634562.083984375,1162.8173317718506,1162.8173317718506,0.5671655717639252,1.884425958349195,5.993937239050865,16.00345778465271,9.997441217303276,6.11954854041338,10.845014038830996,10.845014038830996
204,2459.66,118233.8,305.06,2000.0,883151.0,1104.24,191311.0,0.5667,1.8705,6.0,16.0,10.0,6.16,10.89,3.65,2439.251682434082,117654.71070556641,302.81847721099854,1976.4944038391113,828194.5,1081.7720014953613,1081.7720014953613,0.5675889443706721,1.872926938386634,6.033504217863083,15.997534334659576,9.969816880300641,6.11684264600277,10.82809662014246,10.82809662014246
205,2489.36,118029.3,311.4,2087.0,784351.0,1119.27,229895.0,0.5698,1.9015,6.0,16.0,10.0,6.29,10.89,3.85,2487.3165546512605,95852.598828125,311.68263545036314,2079.5084295272827,753272.521484375,1103.8047986221313,1103.8047986221313,0.5715273531993851,1.9099466729313135,6.000684708356857,15.952342867851257,9.964645802974701,6.269570686817169,10.848924483507872,10.848924483507872
206,2407.92,93239.1,300.39,2121.8,1430778.0,1090.14,114765.0,0.5777,1.9669999999999999,7.5,15.0,10.0,6.29,10.89,3.85,2416.340160293579,85115.51552734376,300.75069586873053,2119.4528177261354,1438245.04296875,1095.7830559158326,1095.7830559158326,0.5801409026373178,1.9781810220405458,7.542204409837723,14.967721819877625,9.98517729435116,6.2850762311927975,10.884688415434212,10.884688415434212
207,2387.88,109734.0,298.76,2068.0,723189.0,1098.6,114765.0,0.5826,1.9605,7.5,15.0,10.0,6.29,10.89,3.85,2428.750429992676,116527.92333984375,303.01878858566283,2075.763174057007,546605.3125,1128.2644401550292,1128.2644401550292,0.5864333898410201,1.974021384447813,7.563592717051506,14.982294499874115,9.994637832511216,6.311762412041426,10.877742233090103,10.877742233090103
208,2504.22,120372.1,312.6,2110.5,682720.0,1211.01,291083.0,0.5857,1.9575,7.5,15.0,10.0,6.29,10.89,3.85,2523.978955001831,123172.65346679688,314.87497720718386,2118.4000582695007,701027.615234375,1229.602903137207,1229.602903137207,0.5894491738330573,1.9753835038095713,7.552870437502861,14.908783257007599,10.012037574313581,6.309285837188363,10.863671723157168,10.863671723157168
209,2442.34,90388.5,304.0,2050.3,671949.0,1153.95,187624.0,0.5865,1.9469999999999998,7.5,15.0,10.0,6.29,10.89,3.85,2459.9609678649904,93280.3828125,305.3397043943405,2060.5231330871584,748708.0234375,1178.2692501068116,1178.2692501068116,0.5901776822526008,1.9662140545696019,7.553990855813026,14.921848475933075,10.007987707853317,6.2908927821181715,10.879662170410157,10.879662170410157
210,2440.84,48954.3,306.01,2059.2,682450.0,1108.47,136113.0,0.5877,1.9669999999999999,7.5,15.0,10.0,6.27,9.7,3.51,2458.023828353882,59614.1056640625,308.7744944190979,2065.021792602539,825305.703125,1105.0463175487519,1105.0463175487519,0.5876725307170593,1.957608495660126,7.473868206143379,14.95342618227005,9.978159548714757,6.227934234291315,9.628631402552127,9.628631402552127
211,2559.65,96464.4,320.4,2046.0,715242.0,1114.82,143461.0,0.5839,1.9609999999999999,7.5,15.0,10.0,6.27,9.7,3.51,2553.0782631874085,108191.7271484375,320.3539417810738,2032.376669883728,665328.80859375,1098.3427584838867,1098.3427584838867,0.5839230088644457,1.9565822187475859,7.472090497612953,14.932711958885193,9.92962309718132,6.233074322789907,9.640174482762813,9.640174482762813
212,2539.36,97137.8,316.03,2126.3,835053.0,1126.98,181499.0,0.5846,1.97,7.5,15.0,10.0,6.27,9.7,3.51,2528.3082831954957,91449.38837890625,315.14821448802945,2119.754676628113,781865.99609375,1125.055626730919,1125.055626730919,0.5852501621683128,1.9664080322533846,7.490861043334007,14.953682243824005,9.929010182619095,6.233367868214845,9.67071704827249,9.67071704827249
213,2535.14,56313.4,317.95,2144.3,908234.0,1115.82,135322.0,0.5874,1.9709999999999999,7.5,15.0,10.0,6.27,9.7,3.51,2551.5565782928466,55399.21964111328,320.2779559612274,2159.667819786072,875407.3671875,1131.6424458694457,1131.6424458694457,0.5876547682961449,1.9664162980429827,7.480926439166069,14.92385584115982,9.948970902711153,6.246069342344999,9.684865188598632,9.684865188598632
214,2610.4,114455.6,329.92,2152.6,903415.0,1124.22,190115.0,0.5819,1.926,6.5,15.0,10.0,6.11,9.34,3.72,2627.5566276550294,123747.0814453125,331.7973980140686,2166.703395462036,905275.9569091797,1135.0908257675171,1135.0908257675171,0.5826779758889228,1.928177690854296,6.491624876856804,14.961189866065979,9.977827223017812,6.091130512431264,9.307172622680664,9.307172622680664
215,2622.28,104685.4,330.19,2156.9,845173.0,1184.69,294310.0,0.5836,1.949,6.5,15.0,10.0,6.11,9.34,3.72,2606.8449766922,96979.5142578125,327.8813061141968,2159.6193219661714,820071.73828125,1179.982839050293,1179.982839050293,0.5833430838993751,1.9459355929642916,6.501476630568504,14.953861773014069,9.972474129870534,6.074724935591221,9.289804686009884,9.289804686009884
216,2626.74,85629.6,330.2,2178.7,939103.0,1173.64,221025.0,0.579,1.932,6.5,15.0,10.0,6.11,9.34,3.72,2625.3962597751615,82349.06166992188,330.2288040805608,2186.633458328247,939263.0136260986,1171.6820111417771,1171.6820111417771,0.5778934766734019,1.9193153222724795,6.48732402920723,14.954315781593323,9.939952526241541,6.066560779362917,9.273616258203983,9.273616258203983
