Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
469,4753.68,161137.8,582.47,3537.8,1456864.0,2104.58,541755.0,0.7062,1.58,6.0,7.75,8.75,2.81,3.17,1.05,4757.585570268631,165861.731640625,582.4464544721693,3537.793133401964,1386817.9140625,2111.8542748260497,2111.8542748260497,0.7063902795484057,1.5773588041029871,6.004853829741478,7.720918774604797,8.746579945320264,2.838355674818158,3.176385803222656,3.176385803222656
470,4766.68,147299.9,584.22,3518.7,1253581.0,2100.54,382104.0,0.7065,1.579,6.0,7.75,8.75,2.61,3.1,0.86,4778.855771713257,141931.30380859374,585.5992247772217,3524.6042291641234,1254577.540588379,2100.8755665802955,2100.8755665802955,0.7068094871062786,1.5776149800242856,5.999972879886627,7.74614030122757,8.755916460882872,2.6487224480509757,3.11480426825583,3.11480426825583
471,4852.67,132455.5,591.71,3537.1,2028699.0,2101.48,558050.0,0.7065,1.5794,6.0,7.75,8.75,2.61,3.1,0.86,4868.373628540039,131555.74798583984,594.242069683075,3544.361800289154,2123792.4375,2094.793840866089,2094.793840866089,0.7064086263560457,1.5699936364084481,5.986457601189613,7.709570229053497,8.760849087499082,2.642838091254234,3.0815364833921195,3.0815364833921195
472,4922.75,146917.3,593.96,3571.4,1361776.0,2067.16,782388.0,0.708,1.5605,6.0,7.75,8.75,2.61,3.1,0.86,4943.280467987061,148165.64936523436,595.9854554748536,3581.5436071395875,1322135.15625,2074.978956851959,2074.978956851959,0.7083768579044845,1.5606259297278011,5.971190765500069,7.74942147731781,8.743805766571313,2.6327621775120496,3.1164411552250386,3.1164411552250386
473,5041.61,166487.6,598.4,3632.4,1958957.0,2107.22,713707.0,0.7067,1.5625,6.0,7.75,8.75,2.61,3.1,0.86,5049.791545257568,158945.55947265626,599.259613597393,3646.409352684021,1979953.375,2117.63780090332,2117.63780090332,0.7061671473396011,1.5594150160904974,5.967543408274651,7.7413893938064575,8.74643860780634,2.635024740025401,3.1148616787046195,3.1148616787046195
474,5105.56,100184.9,607.64,3655.5,1729267.0,2110.17,688481.0,0.7078,1.5335,6.0,7.75,8.75,2.61,3.1,0.86,5127.302771148682,96492.61875,609.365329875946,3674.284772872925,1653420.6953125,2131.1538485717774,2131.1538485717774,0.7081403603914194,1.5369236260689796,5.992344155907631,7.771912097930908,8.753328263526782,2.6432015603780745,3.140789794176817,3.140789794176817
475,5199.13,144135.8,620.18,3662.8,1857513.0,2154.43,904259.0,0.7075,1.5425,6.0,7.75,8.75,2.54,3.22,0.86,5221.072716598511,156600.34296875,622.6559924411773,3678.4982374191286,1912756.65234375,2167.956376724243,2167.956376724243,0.7068179705925286,1.5356579241529107,5.9621375650167465,7.744606971740723,8.760526983998716,2.5561616168916226,3.1934851829707624,3.1934851829707624
476,5216.47,135699.7,621.69,3662.4,2039778.0,2172.05,757946.0,0.706,1.5343,6.0,7.75,8.75,2.54,3.22,0.86,5232.604321212769,135133.46910400392,622.6593669080735,3682.971319580078,1989091.38671875,2190.658846664429,2190.658846664429,0.7057418002167251,1.5345732485590968,5.9899972230196,7.7746018171310425,8.743428171146661,2.5640666940808297,3.2552575294673445,3.2552575294673445
477,5059.32,214717.2,605.94,3613.7,2210462.0,2227.17,1280839.0,0.7070000000000001,1.5407,6.0,7.5,8.5,2.54,3.22,0.86,5079.168878860473,219160.21513671876,608.0556949996949,3628.844878387451,2210229.847808838,2237.923170967102,2237.923170967102,0.7063962951120921,1.5355165589012205,5.966006204485893,7.5132668018341064,8.49002918601036,2.551858887039125,3.21739093775861,3.21739093775861
478,5105.92,90672.4,614.53,3676.4,2210462.0,2271.35,1280839.0,0.7068,1.5595,6.0,7.5,8.5,2.54,3.22,0.86,5136.21020690918,62260.144140624994,617.6305909442901,3699.6703399658204,2190361.826171875,2280.354298210144,2280.354298210144,0.7071711637400556,1.5642137406654657,5.971702471375465,7.452927887439728,8.498703449964523,2.5684825284034014,3.2415984340757134,3.2415984340757134
479,5194.07,127693.6,621.32,3715.6,2210462.0,2306.21,1280839.0,0.7053,1.5519999999999998,6.0,7.5,8.5,2.73,2.88,0.86,5215.276981658935,139077.5130859375,622.7533202838898,3722.538100337982,2142699.109375,2315.161361656189,2315.161361656189,0.7050578587208409,1.5516676327718886,5.982082769274712,7.431871473789215,8.48565533850342,2.7436297130957246,2.816268612742424,2.816268612742424
