week_num,is_trade,a_start,a_end,profit,hold_profit,trade_profit,as_start,as_end,ad_start,ad_end,ap_start,ap_end,trade_s_d,trade_s_p,trade_d_s,trade_d_p,trade_p_s,trade_p_d
19.0,0.0,34297.48588065502,34380.720610340024,83.23472968500573,83.23472968500573,0.0,10221.522351030606,10233.316415281794,10305.785499625483,10322.136024697005,10249.537276779449,10263.334730805884,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,34431.98464524035,34551.963176497666,119.9785312573149,119.9785312573149,0.0,10233.316415281794,10245.124088068656,10322.136024697005,10338.51249050542,10263.334730805884,10277.150758328124,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,34713.61415887923,34860.53622686934,146.92206799011183,146.92206799011183,0.0,10245.124088068656,10256.94538509335,10338.51249050542,10354.914938206704,10277.150758328124,10290.98538434895,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,34972.39870956125,35121.01978337945,148.62107381820533,148.62107381820533,0.0,10256.94538509335,10268.780322076149,10354.914938206704,10371.343409022129,10290.98538434895,10304.838633904807,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,34980.359435914026,35030.240332640125,49.88089672609931,49.88089672609931,0.0,10268.780322076149,10280.628914755467,10371.343409022129,10387.797944238368,10304.838633904807,10318.710532065832,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,34677.718990962414,34627.264596280205,-50.45439468220866,-50.45439468220866,0.0,10280.628914755467,10292.491178887876,10387.797944238368,10404.278585207592,10318.710532065832,10332.601103935922,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,34842.16213181561,34828.561209152496,-13.600922663114034,-13.600922663114034,0.0,10292.491178887876,10304.36713024813,10404.278585207592,10420.785373347586,10332.601103935922,10346.510374652758,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,35108.495738914804,35187.067290755134,78.57155184033036,78.57155184033036,0.0,10304.36713024813,10316.256784629186,10420.785373347586,10437.31835014184,10346.510374652758,10360.438369387868,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,35149.53696569757,35299.69714981952,150.16018412195262,150.16018412195262,0.0,10316.256784629186,10328.160157842218,10437.31835014184,10453.877557139664,10360.438369387868,10374.38511334666,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,35599.482496524084,35575.55564072731,-23.926855796773452,-23.926855796773452,0.0,10328.160157842218,10340.07726571665,10453.877557139664,10470.46303595628,10374.38511334666,10388.350631768473,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,35363.997884665434,35390.95960752053,26.96172285509965,26.96172285509965,0.0,10340.07726571665,10352.00812410017,10470.46303595628,10487.074828272942,10388.350631768473,10402.334949926624,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,35377.33223334643,35513.034933901756,135.70270055532455,135.70270055532455,0.0,10352.00812410017,10363.952748858746,10487.074828272942,10503.71297583703,10402.334949926624,10416.338093128448,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,34895.95711121969,35001.0983700396,105.14125881990913,105.14125881990913,0.0,10363.952748858746,10375.91115587666,10503.71297583703,10520.377520462158,10416.338093128448,10430.360086715353,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,34791.72091942257,34771.32777261225,-20.39314681032556,-20.39314681032556,0.0,10375.91115587666,10387.883361056516,10520.377520462158,10537.068504028277,10430.360086715353,10444.400956062855,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,35018.44687020566,34966.517274239675,-51.929595965986664,-51.929595965986664,0.0,10387.883361056516,10399.869380319273,10537.068504028277,10553.785968481785,10444.400956062855,10458.460726580632,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,34939.25408323463,34954.36209168419,15.108008449562476,15.108008449562476,0.0,10399.869380319273,10411.869229604255,10553.785968481785,10570.529955835627,10458.460726580632,10472.539423712567,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,34780.337282296314,34777.78017195458,-2.557110341731459,-2.557110341731459,0.0,10411.869229604255,10423.882924869182,10570.529955835627,10587.300508169406,10472.539423712567,10486.637072936795,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,35025.43786251148,35005.489664527675,-19.948197983801947,-19.948197983801947,0.0,10423.882924869182,10435.910482090183,10587.300508169406,10604.097667629483,10486.637072936795,10500.75369976575,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,34865.819657865504,34818.87231394479,-46.94734392071405,-46.94734392071405,0.0,10435.910482090183,10447.951917261824,10604.097667629483,10620.921476429088,10500.75369976575,10514.889329746204,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,34717.46332751024,34746.41781432378,28.954486813541735,28.954486813541735,0.0,10447.951917261824,10460.007246397125,10620.921476429088,10637.771976848424,10514.889329746204,10529.043988459323,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,34725.56730157994,34740.905636023395,15.338334443455096,15.338334443455096,0.0,10460.007246397125,10472.076485527581,10637.771976848424,10654.649211234771,10529.043988459323,10543.21770152071,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,35054.243528499086,35211.717618027105,157.47408952801925,157.47408952801925,0.0,10472.076485527581,10484.159650703188,10654.649211234771,10672.065464753136,10543.21770152071,10557.41049458045,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,35306.55194736155,35475.99505573975,169.44310837820376,169.44310837820376,0.0,10484.159650703188,10496.25675799246,10672.065464753136,10689.510187147444,10557.41049458045,10571.622393323156,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,35093.64290032293,35151.64176698506,57.9988666621357,57.9988666621357,0.0,10496.25675799246,10508.367823482451,10689.510187147444,10706.983424953358,10571.622393323156,10585.853423468014,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,35201.787010465705,35166.23038013825,-35.556630327453604,-35.556630327453604,0.0,10508.367823482451,10520.492863278776,10706.983424953358,10724.48522478261,10585.853423468014,10600.103610768836,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,35213.89469288098,35178.52965875583,-35.36503412514867,-35.36503412514867,0.0,10520.492863278776,10532.631893505635,10724.48522478261,10742.015633323119,10600.103610768836,10614.372981014103,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,35262.05991620358,35318.14360496125,56.08368875767337,56.08368875767337,0.0,10532.631893505635,10544.784930305834,10742.015633323119,10759.574697339129,10614.372981014103,10628.661560027007,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,35202.747860735246,35218.56596371034,15.818102975092188,15.818102975092188,0.0,10544.784930305834,10556.951989840802,10759.574697339129,10777.162463671319,10628.661560027007,10643.480367009737,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,35675.72711704523,35719.764619693684,44.03750264845439,44.03750264845439,0.0,10556.951989840802,10569.133088290617,10777.162463671319,10794.778979236935,10643.480367009737,10658.319834829126,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,35713.425309628336,35729.57020588106,16.144896252721082,16.144896252721082,0.0,10569.133088290617,10581.328241854028,10794.778979236935,10812.424291029918,10658.319834829126,10673.179992291147,0.0,0.0,0.0,0.0,0.0,0.0
