Week,SG/D,P/D,P/SG,SG/D_Forecast,P/D_Forecast,P/SG_Forecast,%delta_SG/D,%delta_SG/D_Forecast,%delta_P/D,%delta_P/D_Forecast,%delta_P/SG,%delta_P/SG_Forecast,SE_SG/D,SE_P/D,SE_P/SG,APE_SG/D,APE_P/D,APE_P/SG,MAPE,MAPE_SG/D,MAPE_P/D,MAPE_P/SG
140,0.5096,1.624,3.1868131868131866,0.5093259290248622,1.6189965267442168,3.1787043118811793,-0.15673981191220845,-0.21043710327934687,4.102564102564106,3.7818286374497903,4.265990419836549,4.0006846656508745,7.511489941302541e-08,2.503474462133893e-05,6.575385266293627e-05,0.05378158852784036,0.3080956438290221,0.25445090303884954,,0.09671430486985427,0.5078977777534353,0.41161059486648505
141,0.5115,1.6245,3.175953079178886,0.5122216412341222,1.6247624504850249,3.1719910282790873,0.3728414442699964,0.5144507916252195,0.030788177339898085,0.046948921491672915,-0.34078268783495225,-0.4651091126217365,5.20766070785436e-07,6.888025708976498e-08,1.569784733259505e-05,0.14108333022917238,0.01615577008463055,0.12475155649412087,,0.09921706197435498,0.32082697456048875,0.30506554351177895
142,0.5102,1.6135,3.162485299882399,0.5108241039372979,1.6128222537450492,3.157294734750845,-0.2541544477028286,-0.13213999270811722,-0.6771314250538701,-0.7188517239120272,-0.42405473131135696,-0.5874880378542932,3.8950572455080154e-07,4.59339986099783e-07,2.6941966384906765e-05,0.12232535031320041,0.04200472605830566,0.16412930462466546,,0.10573008969007104,0.12208537999065278,0.1811105880525453
143,0.5109,1.6565,3.2423174789587,0.511544805142656,1.6576611909139902,3.240500488420977,0.13720109760878751,0.26358391663190955,2.6650139448404184,2.736981153640551,2.524349412130696,2.466894898815147,4.157736719955841e-07,1.3483643387332566e-06,3.3014546141757076e-06,0.12620965798707548,0.0700990590999179,0.056039871157427826,,0.1298727795098161,0.04275318508095136,0.1149735774254047
144,0.514,1.6575,3.2247081712062258,0.5142856640785467,1.6571028124878648,3.2221446721773215,0.6067723624975517,0.6626862553428615,0.06036824630243826,0.03639073274160922,-0.5431086828094875,-0.6221724711503993,8.160396577192831e-08,1.5775791979609654e-07,6.571527271193251e-06,0.05557666897795485,0.023963047489299134,0.0794955354966399,,0.10137055909274358,0.04535561088250756,0.09988823709291106
145,0.5122,1.625,3.1725888324873095,0.5125973118728027,1.6198760122060776,3.1601336462100647,-0.35019455252918746,-0.27289652280104065,-1.9607843137254888,-2.2699238488037645,-1.616249779880722,-2.002492057196188,1.5785672426996882e-07,2.6255250912265993e-05,0.0001551316652008683,0.07756967450266981,0.31532232577984154,0.3925874714587575,,0.08645200048923336,0.13646147745635284,0.17604095937094175
146,0.5115,1.581,3.0909090909090913,0.5112857500711688,1.5707008528932929,3.0720606875404957,-0.13666536509176766,-0.17849471472689513,-2.70769230769231,-3.341485975797362,-2.5745454545454383,-3.1686471287235722,4.590303200414119e-08,0.00010607243112559315,0.0003552623095452864,0.0418865941018813,0.6514324545671788,0.6098012854545638,,0.05834431252750199,0.33023927594543984,0.3606280974699871
147,0.5091,1.5730000000000002,3.089766254174033,0.5077087591387331,1.5588047869056465,3.0702735748541574,-0.46920821114368677,-0.7412005593874506,-0.5060088551549516,-1.403871795974286,-0.03697412966365178,-0.6676196370713894,1.9355511340585305e-06,0.00020150407479411006,0.00037996454706750306,0.27327457498857816,0.9024293130549063,0.6308787693419345,,0.13091028119770975,0.6230613644673088,0.5444225087517519
148,0.5089,1.577,3.0988406366673216,0.5085336038748268,1.5720553267262876,3.091349941769515,-0.039285012767624826,-0.11125439504481913,0.25429116338205854,-0.060055516447082964,0.2936915529137469,0.05125590304258644,1.3424612054193246e-07,2.444979378376567e-05,5.611051005202623e-05,0.07199766656969861,0.3135493515353454,0.24172572184488222,,0.12905294522005267,0.6224703730524769,0.49413525888046017
149,0.5062,1.5505,3.0630185697352825,0.5062886364505277,1.545087378576398,3.051791542090788,-0.5305561013951731,-0.5131388385679572,-1.680405833861761,-2.0236284986431103,-1.155982870115071,-1.5182805472414684,7.85642036214968e-09,2.9296470675234067e-05,0.00012604614973024528,0.01751016407105917,0.34908877288628715,0.3665347561201645,,0.12092746854311198,0.521689145825513,0.41304641576899376
